-1	0.6
-0.95	0.531757
-0.9	0.475104
-0.85	0.42475
-0.8	0.379703
-0.75	0.339166
-0.7	0.302499
-0.65	0.269173
-0.6	0.238757
-0.55	0.210889
-0.5	0.185267
-0.45	0.161638
-0.4	0.139789
-0.35	0.119539
-0.3	0.100744
-0.25	0.0832917
-0.2	0.0671157
-0.15	0.0522423
-0.1	0.0347939
-0.05	0.017031
0	0
0.05	nan
0.1	0.56564
0.15	0.53728
0.2	0.510445
0.25	0.485067
0.3	0.461102
0.35	0.435832
0.4	0.4126
0.45	0.391168
0.5	0.371427
0.55	0.353308
0.6	0.336779
0.65	0.321847
0.7	0.309279
0.75	0.298259
0.8	0.288879
0.85	0.281289
0.9	0.275676
0.95	0.272355
1	0.271796
1.05	0.279563
1.1	0.286921
1.15	0.29398
1.2	0.300919
1.25	0.30792
1.3	0.315172
1.35	0.318107
1.4	0.321923
1.45	0.326712
1.5	0.33258
1.55	0.339585
1.6	0.347761
1.65	0.357166
1.7	0.368039
1.75	0.380895
1.8	0.395638
1.85	0.414001
1.9	0.433826
1.95	0.451932
2	0.470783
