-1	0.112225	0.112225
-0.95	0.103783	0.167433
-0.9	0.100902	0.221502
-0.85	0.103583	0.274433
-0.8	0.111824	0.326224
-0.75	0.125627	0.376877
-0.7	0.14499	0.42639
-0.65	0.169915	0.474765
-0.6	0.200401	0.522001
-0.55	0.236448	0.568098
-0.5	0.278056	0.613056
-0.45	0.325226	0.656876
-0.4	0.377956	0.699556
-0.35	0.436248	0.741098
-0.3	0.5001	0.7815
-0.25	0.569514	0.820764
-0.2	0.644489	0.858889
-0.15	0.725025	0.895875
-0.1	0.811122	0.931722
-0.05	0.902781	0.966431
0	1	1
0.05	nan	nan
0.1	0.98573	0.987232
0.15	0.974746	0.981023
0.2	0.96132	0.974609
0.25	0.945541	0.96777
0.3	0.927528	0.960283
0.35	0.906752	0.952593
0.4	0.884091	0.943767
0.45	0.859738	0.93358
0.5	0.833916	0.921811
0.55	0.806857	0.90826
0.6	0.778801	0.892748
0.65	0.749999	0.875121
0.7	0.720926	0.855033
0.75	0.691561	0.832665
0.8	0.662132	0.807981
0.85	0.632856	0.780987
0.9	0.603928	0.751736
0.95	0.575532	0.720324
1	0.547882	0.686831
1.05	0.522894	0.651763
1.1	0.49928	0.61862
1.15	0.476987	0.587321
1.2	0.455981	0.557774
1.25	0.436224	0.52989
1.3	0.417681	0.503586
1.35	0.399727	0.479365
1.4	0.383041	0.456437
1.45	0.367548	0.434762
1.5	0.35318	0.414299
1.55	0.339864	0.395015
1.6	0.327524	0.376879
1.65	0.316096	0.359856
1.7	0.30554	0.343886
1.75	0.295843	0.328884
1.8	0.286924	0.314841
1.85	0.278883	0.301564
1.9	0.271438	0.289248
1.95	0.264289	0.278108
2	0.257648	0.26785

 
