-1	0	0.4489
-0.95	0.0025	0.471282
-0.9	0.01	0.494209
-0.85	0.0225	0.51768
-0.8	0.04	0.541696
-0.75	0.0625	0.566256
-0.7	0.09	0.591361
-0.65	0.1225	0.61701
-0.6	0.16	0.643204
-0.55	0.2025	0.669942
-0.5	0.25	0.697225
-0.45	0.3025	0.725052
-0.4	0.36	0.753424
-0.35	0.4225	0.78234
-0.3	0.49	0.811801
-0.25	0.5625	0.841806
-0.2	0.64	0.872356
-0.15	0.7225	0.90345
-0.1	0.81	0.935089
-0.05	0.9025	0.967272
0	1	1
0	1	1
0.05	0.97726	0.999958
0.1	0.953956	0.999667
0.15	0.930129	0.998876
0.2	0.90582	0.997337
0.25	0.881076	0.994805
0.3	0.855945	0.99104
0.35	0.830476	0.98581
0.4	0.804721	0.978893
0.45	0.778734	0.970082
0.5	0.752569	0.959189
0.55	0.726282	0.946051
0.6	0.699929	0.930531
0.65	0.673566	0.912523
0.7	0.647252	0.891961
0.75	0.621041	0.868815
0.8	0.594991	0.843103
0.85	0.569155	0.814885
0.9	0.543588	0.784272
0.95	0.518342	0.751419
1	0.493467	0.716531
1	0.493467	0.716531
1.05	0.469666	0.681586
1.1	0.447528	0.64835
1.15	0.426936	0.61675
1.2	0.407782	0.586724
1.25	0.389966	0.558217
1.3	0.373393	0.531177
1.35	0.357978	0.50556
1.4	0.343638	0.481325
1.45	0.3303	0.458431
1.5	0.317894	0.436841
1.55	0.306356	0.416517
1.6	0.295625	0.397424
1.65	0.285646	0.379524
1.7	0.276368	0.362779
1.75	0.267743	0.347152
1.8	0.259726	0.332605
1.85	0.252276	0.319097
1.9	0.245355	0.306589
1.95	0.238928	0.295038
2	0.23296	0.284405
