-1	0.336675
-0.95	0.315072
-0.9	0.283368
-0.85	0.253348
-0.8	0.225011
-0.75	0.198358
-0.7	0.173388
-0.65	0.150101
-0.6	0.128498
-0.55	0.108578
-0.5	0.0903411
-0.45	0.0737879
-0.4	0.0589181
-0.35	0.0457317
-0.3	0.0342286
-0.25	0.0244089
-0.2	0.0162726
-0.15	0.00981969
-0.1	0.004489
-0.05	0.00112225
0	0
0.05	nan
0.1	0.034088
0.15	0.0481707
0.2	0.0604993
0.25	0.0710848
0.3	0.0799778
0.35	0.086376
0.4	0.0912371
0.45	0.0946527
0.5	0.0967383
0.55	0.0976185
0.6	0.0974306
0.65	0.0963199
0.7	0.0946615
0.75	0.0923417
0.8	0.0895028
0.85	0.0862951
0.9	0.0828595
0.95	0.0793599
1	0.0759188
1.05	0.074545
1.1	0.072865
1.15	0.0709376
1.2	0.0688333
1.25	0.0666162
1.3	0.0643419
1.35	0.0610361
1.4	0.0579488
1.45	0.0550811
1.5	0.0524287
1.55	0.0499811
1.6	0.0477235
1.65	0.0456462
1.7	0.0437615
1.75	0.0421068
1.8	0.0406445
1.85	0.0395219
1.9	0.0384971
1.95	0.0373067
2	0.0361964
