-1	0
-0.95	0.107424
-0.9	0.202202
-0.85	0.286438
-0.8	0.361797
-0.75	0.429606
-0.7	0.490941
-0.65	0.546682
-0.6	0.597554
-0.55	0.644159
-0.5	0.687002
-0.45	0.726506
-0.4	0.763025
-0.35	0.796856
-0.3	0.828239
-0.25	0.857351
-0.2	0.884283
-0.15	0.908949
-0.1	0.934761
-0.05	0.965938
0.05	nan
0.1	0.024918
0.15	0.0700133
0.2	0.112123
0.25	0.151687
0.3	0.188847
0.35	0.231305
0.4	0.269872
0.45	0.305161
0.5	0.337473
0.55	0.367007
0.6	0.393869
0.65	0.418087
0.7	0.438158
0.75	0.455759
0.8	0.470743
0.85	0.482851
0.9	0.491763
0.95	0.49691
1	0.497451
1.05	0.483295
1.1	0.469927
1.15	0.457248
1.2	0.445011
1.25	0.432952
1.3	0.420796
1.35	0.415054
1.4	0.407734
1.45	0.398679
1.5	0.387705
1.55	0.374714
1.6	0.359652
1.65	0.342407
1.7	0.322497
1.75	0.298886
1.8	0.271742
1.85	0.237589
1.9	0.200702
1.95	0.167401
2	0.13269
