-1	-0.112225	0.4489
-0.95	-0.110006	0.482505
-0.9	-0.0915636	0.50487
-0.85	-0.0686828	0.52778
-0.8	-0.0413631	0.551235
-0.75	-0.00960456	0.575234
-0.7	0.0265929	0.599778
-0.65	0.0672292	0.624866
-0.6	0.112304	0.650499
-0.55	0.161818	0.676676
-0.5	0.215771	0.703397
-0.45	0.274163	0.730664
-0.4	0.336994	0.758474
-0.35	0.404263	0.786829
-0.3	0.475972	0.815729
-0.25	0.552119	0.845173
-0.2	0.632705	0.875162
-0.15	0.71773	0.905695
-0.1	0.807194	0.936211
-0.05	0.901658	0.967553
0	1	1
0.05	0.975949	1.0066
0.1	0.951642	1.01191
0.15	0.926576	1.01623
0.2	0.90082	1.01934
0.25	0.874456	1.021
0.3	0.84755	1.021
0.35	0.820376	1.01856
0.4	0.792853	1.01398
0.45	0.765086	1.00706
0.5	0.737178	0.997628
0.55	0.709238	0.985537
0.6	0.681371	0.970672
0.65	0.653679	0.952952
0.7	0.626264	0.932336
0.75	0.599219	0.908822
0.8	0.572629	0.882457
0.85	0.54656	0.853345
0.9	0.521069	0.821637
0.95	0.496172	0.787556
1	0.471963	0.751285
1.05	0.448349	0.714997
1.1	0.426415	0.680369
1.15	0.40605	0.64735
1.2	0.387147	0.615891
1.25	0.369608	0.58595
1.3	0.353339	0.557487
1.35	0.338691	0.530564
1.4	0.325093	0.505101
1.45	0.312467	0.481059
1.5	0.300752	0.458394
1.55	0.289883	0.437065
1.6	0.279801	0.417031
1.65	0.27045	0.398251
1.7	0.261778	0.380683
1.75	0.253737	0.364283
1.8	0.24628	0.349011
1.85	0.239361	0.334824
1.9	0.23294	0.321679
1.95	0.226982	0.309532
2	0.221452	0.298338
